Development Status,Country,Year_x,Data.Health.Birth Rate,Data.Health.Death Rate,Data.Health.Fertility Rate,"Data.Health.Life Expectancy at Birth, Female","Data.Health.Life Expectancy at Birth, Male","Data.Health.Life Expectancy at Birth, Total",Data.Health.Population Growth,Data.Health.Total Population,Data.Infrastructure.Mobile Cellular Subscriptions,Data.Infrastructure.Mobile Cellular Subscriptions per 100 People,Data.Infrastructure.Telephone Lines,Data.Infrastructure.Telephone Lines per 100 People,Data.Rural Development.Agricultural Land,Data.Rural Development.Agricultural Land Percent,Data.Rural Development.Arable Land,Data.Rural Development.Arable Land Percent,Data.Rural Development.Land Area,Data.Rural Development.Rural Population,Data.Rural Development.Rural Population Growth,Data.Rural Development.Surface Area,Data.Urban Development.Population Density,Data.Urban Development.Urban Population Percent,Data.Urban Development.Urban Population Percent Growth,Country_Year,Year_y,Country.Name,Country.Code,Country.GDP,Country.Population,Emissions.Production.CH4,Emissions.Production.N2O,Emissions.Production.CO2.Cement,Emissions.Production.CO2.Coal,Emissions.Production.CO2.Gas,Emissions.Production.CO2.Oil,Emissions.Production.CO2.Flaring,Emissions.Production.CO2.Other,Emissions.Production.CO2.Total,Emissions.Global Share.CO2.Cement,Emissions.Global Share.CO2.Coal,Emissions.Global Share.CO2.Gas,Emissions.Global Share.CO2.Oil,Emissions.Global Share.CO2.Flaring,Emissions.Global Share.CO2.Total
Emerging and Developing Economies,Afghanistan,2010,39.414,9.023,5.928,60.379,57.906,59.11234146,2.469929205,27708187,10500000,37.89493697,5130,0.018514383,379100,58.12366803,0.281252613,11.94823912,652230,20971495,1.986207452,652230,42.48223326,24.313,3.990924047,Afghanistan_2010,2010,Afghanistan,AFG,47399424000,29185512,15.2,4.58,0.015,2.246,0.271,5.866,0,0,8.398,0,0.02,0,0.05,0,0.03
Emerging and Developing Economies,Afghanistan,2011,37.952,8.684,5.659,60.877,58.384,59.60009756,2.458417085,28397812,13000000,45.77817474,16620,0.058525636,379100,58.12366803,0.274387337,11.94670592,652230,21386676,1.96039766,652230,43.53956733,24.689,3.993073887,Afghanistan_2011,2011,Afghanistan,AFG,53326336000,30117410,15.5,4.68,0.015,4.181,0.308,7.603,0,0,12.106,0,0.03,0,0.07,0,0.04
Emerging and Developing Economies,Kuwait,1993,17.92,2.697,2.144,73.525,71.617,72.54773171,-2.380974919,1896269,51000,2.699075329,345583,18.28930489,1410,7.912457912,0.002288347,0.224466891,17820,37934,-3.079127046,17820,106.4124018,98.002,-2.366691931,Kuwait_1993,1993,Kuwait,KWT,36160745472,1772607,14.94,0.3,0.204,0,15.184,33.357,0.385,0,49.129,0.04,0,0.37,0.36,0.16,0.22
Emerging and Developing Economies,Kuwait,1994,18.296,2.738,2.182,73.64,71.753,72.6734878,-1.799589567,1792887,64311,3.656986692,357996,20.35711788,1420,7.968574635,0.002576345,0.280583614,17820,35636,-2.502583743,17820,100.6109428,98.016,-1.785309906,Kuwait_1994,1994,Kuwait,KWT,41613418496,1659304,16.55,0.33,0.405,0,14.583,39.278,0.96,0,55.226,0.07,0,0.36,0.43,0.41,0.24
Emerging and Developing Economies,Kuwait,1996,20.717,2.866,2.467,73.85,71.992,72.89834146,-0.636818862,1586123,117609,7.414872617,382287,24.10197696,1420,7.968574635,0.003152341,0.280583614,17820,31040,-1.349497136,17820,89.00802469,98.043,-0.622545856,Kuwait_1996,1996,Kuwait,KWT,49248518144,1626858,16.99,0.4,0.798,0,17.855,30.301,0.96,0,49.914,0.12,0,0.41,0.32,0.4,0.21
Emerging and Developing Economies,Kuwait,1997,22.178,2.937,2.642,73.948,72.1,73.00146341,-0.05543351,1585244,151063,9.529321669,391841,24.71802448,1430,8.024691358,0.003784906,0.336700337,17820,30801,-0.772953833,17820,88.95869809,98.057,-0.041163831,Kuwait_1997,1997,Kuwait,KWT,55092477952,1710257,17.54,0.41,0.792,0,17.792,35.105,0.982,0,54.671,0.12,0,0.4,0.36,0.4,0.22
Emerging and Developing Economies,Kuwait,1998,23.373,3.004,2.788,74.04,72.199,73.09704878,3.151528823,1635999,210000,12.83619367,411629,25.1607122,1430,8.024691358,0.003667484,0.336700337,17820,31558,2.427996563,17820,91.80690236,98.071,3.165812721,Kuwait_1998,1998,Kuwait,KWT,62392897536,1831121,17.11,0.44,0.528,0,17.981,32.092,0.96,0,51.56,0.08,0,0.4,0.33,0.41,0.21
Emerging and Developing Economies,Kuwait,2002,23.147,3.146,2.796,74.366,72.546,73.43380488,3.827385458,1980604,877920,44.32587231,472414,23.85201686,1510,8.47362514,0.006563654,0.729517396,17820,37077,3.028377301,17820,111.1450056,98.128,3.842690504,Kuwait_2002,2002,Kuwait,KWT,87259471872,2136991,16.15,0.53,0.588,0,18.151,38.798,0.443,0.001,57.981,0.07,0,0.37,0.37,0.15,0.22
Emerging and Developing Economies,Kuwait,2004,21.777,3.146,2.66,74.508,72.709,73.58656098,3.271734227,2116353,1420000,67.09655714,486904,23.00674793,1510,8.47362514,0.005670132,0.673400673,17820,39004,2.460544584,17820,118.7627946,98.157,3.287028117,Kuwait_2004,2004,Kuwait,KWT,1.25774E+11,2200498,19.8,0.56,0.938,0,22.764,38.926,0.48,0.001,63.109,0.1,0,0.43,0.35,0.15,0.22
Emerging and Developing Economies,Kuwait,2007,21.31,3.104,2.645,74.727,72.95,73.81682927,5.140596862,2417445,1179573,48.79420214,516982,21.38547102,1500,8.417508418,0.004550259,0.617283951,17820,43466,4.310992095,17820,135.6590909,98.202,5.155850726,Kuwait_2007,2007,Kuwait,KWT,1.87112E+11,2504026,20.68,0.65,0.797,0,25.539,48.059,0.48,0,74.875,0.07,0,0.45,0.43,0.14,0.24
Emerging and Developing Economies,Kuwait,2008,21.41,3.08,2.667,74.814,73.027,73.89870732,5.53097147,2554920,1426395,55.82934104,538219,21.0659825,1510,8.47362514,0.004422839,0.634118967,17820,45554,4.691941215,17820,143.3737374,98.217,5.546268128,Kuwait_2008,2008,Kuwait,KWT,2.04012E+11,2656010,21.75,0.71,0.931,0,26.619,54.363,0.385,0,82.297,0.08,0,0.45,0.49,0.11,0.26
Emerging and Developing Economies,Kuwait,2010,21.435,3.018,2.683,75.015,73.17,74.07,5.328075565,2850102,2618413,91.87085234,528497,18.54309074,1510,8.47362514,0.003929684,0.628507295,17820,49934,4.419964333,17820,159.9383838,98.248,5.344344536,Kuwait_2010,2010,Kuwait,KWT,2.10626E+11,2991884,20.14,0.75,0.717,0,28.132,60.005,0.418,0,89.272,0.06,0,0.45,0.53,0.11,0.27
Emerging and Developing Economies,Kuwait,2011,21.314,2.983,2.673,75.131,73.239,74.16192683,4.844689281,2991580,3979145,133.0114856,519418,17.36266455,1520,8.529741863,0.003676987,0.617283951,17820,51964,3.984903767,17820,167.8776655,98.263,4.859954519,Kuwait_2011,2011,Kuwait,KWT,2.49782E+11,3168054,22.05,0.78,0.796,0,32.857,52.191,0.418,0.001,86.263,0.06,0,0.52,0.46,0.12,0.25
Emerging and Developing Economies,Kuwait,2013,20.852,2.916,2.626,75.388,73.379,74.359,3.946772135,3250496,5100000,156.8991317,510000,15.68991317,1520,8.529741863,0.003076454,0.561167228,17820,55453,3.070854415,17820,182.4071829,98.294,3.962042458,Kuwait_2013,2013,Kuwait,KWT,2.71291E+11,3526382,24.33,0.85,1.045,0,34.566,45.675,0.418,0,81.704,0.07,0,0.53,0.39,0.11,0.23
Advanced Economy,Ireland,1992,14.9,8.9,2.08,77.847,72.192,74.95053659,0.574927781,3534235,32000,0.90457037,1048000,29.62467962,44420,64.47960517,0.291152116,14.93685586,68890,1518095,0.249504896,70280,51.30258383,57.046,0.820662596,Ireland_1992,1992,Ireland,IRL,71167893504,3529847,15.78,9.85,0.753,13.765,4.517,14.024,0,0.435,33.494,0.14,0.16,0.11,0.15,0,0.15
Advanced Economy,Ireland,1996,13.5,8.9,1.84,78.434,72.845,75.57134146,0.512695055,3608841,158000,4.37561861,1310000,36.27886316,43890,63.71026274,0.285410191,14.95137175,68890,1518600,-0.004016777,70280,52.38555668,57.92,0.889777675,Ireland_1996,1996,Ireland,IRL,96464093184,3619633,15.98,10.22,0.983,13.074,6.179,16.533,0,0.7,37.469,0.15,0.14,0.14,0.17,0,0.16
Advanced Economy,Ireland,1997,13.9,8.7,1.88,78.7,73.1,75.83170732,0.791271347,3637510,288600,7.932034067,1390000,38.20349048,43410,63.01349978,0.29113322,15.3723327,68890,1522516,0.257537178,70280,52.80171288,58.144,1.177260528,Ireland_1997,1997,Ireland,IRL,1.08048E+11,3651096,15.99,10.31,1.145,12.21,6.592,18.194,0,0.663,38.804,0.17,0.14,0.15,0.19,0,0.16
Advanced Economy,Ireland,1998,14.4,8.6,1.93,78.7,73.4,75.98536585,1.002814735,3674171,545000,14.8509496,1558000,42.45464125,44310,64.31993032,0.281696198,15.02395123,68890,1528639,0.401356747,70280,53.3338801,58.395,1.433556466,Ireland_1998,1998,Ireland,IRL,1.18272E+11,3687821,16.43,10.75,1.059,11.893,6.721,20.501,0,0.534,40.708,0.16,0.14,0.15,0.21,0,0.17
Advanced Economy,Ireland,1999,14.5,8.5,1.94,79.1,73.4,76.1804878,1.043076836,3712696,946000,25.52193159,1633000,44.0563576,44160,64.1021919,0.292240464,15.74974597,68890,1535385,0.440336688,70280,53.89310495,58.645,1.470308892,Ireland_1999,1999,Ireland,IRL,1.32615E+11,3731472,16.49,10.72,1.166,10.289,7.19,23.185,0.038,0.572,42.44,0.17,0.12,0.16,0.23,0.02,0.17
Advanced Economy,Ireland,2000,14.4,8.7,1.9,78.9,73.4,76.08292683,1.127299556,3754786,1677000,44.70952009,1737000,46.30914514,44180,64.13122369,0.286567597,15.61910292,68890,1543367,0.518522952,70280,54.50407897,58.896,1.554376174,Ireland_2000,2000,Ireland,IRL,1.47423E+11,3783095,16.97,10.61,1.701,11.107,8.209,23.657,0,0.575,45.249,0.24,0.12,0.17,0.23,0,0.18
Advanced Economy,Ireland,2002,15,7.8,1.94,79.9,74.5,77.13414634,1.59215149,3866243,2970000,76.82678973,1860000,48.11374711,44100,64.01509653,0.307275047,17.24488315,68890,1569888,0.980787224,70280,56.12197706,59.395,2.01226813,Ireland_2002,2002,Ireland,IRL,1.68846E+11,3907995,16.97,10.68,1.86,11.315,8.633,23.796,0,0.477,46.081,0.24,0.12,0.18,0.23,0,0.18
Advanced Economy,Ireland,2006,14.8,6.8,1.86,81.3,76.7,78.94390244,2.178703014,4159914,4270000,102.6935533,2052000,49.35062561,43020,62.44737988,0.284621269,17.18681957,68890,1644123,1.485318694,70280,60.38487444,60.477,2.634456056,Ireland_2006,2006,Ireland,IRL,2.18887E+11,4230619,16.09,9.35,2.348,10.021,9.429,25.36,0,0.446,47.604,0.22,0.08,0.17,0.23,0,0.16
Advanced Economy,Ireland,2007,15.3,6.7,1.91,81.7,76.9,79.24146341,2.708780968,4274137,4690135,110.9801131,2176646,51.50479023,42600,61.83771229,0.26976206,16.73682683,68890,1677513,2.010522811,70280,62.0429235,60.752,3.162487273,Ireland_2007,2007,Ireland,IRL,2.29784E+11,4324649,15.43,9.18,2.374,9.671,10.208,24.828,0,0.583,47.664,0.21,0.08,0.18,0.22,0,0.15
Advanced Economy,Ireland,2009,16.7,6.3,2.06,82.4,77.9,80.09512195,2.038708011,4489544,5048127,116.0047081,2222651,51.07596945,42001,60.96821019,0.245236487,15.98200029,68890,1737543,1.335755258,70280,65.16974888,61.298,2.485092812,Ireland_2009,2009,Ireland,IRL,2.14514E+11,4494572,14.91,9.39,1.327,8.605,10.382,21.401,0,0.465,42.18,0.11,0.07,0.18,0.19,0,0.13
Advanced Economy,Ireland,2010,16.7,6.3,2.06,82.7,77.8,80.1902439,1.015663276,4535375,4704497,106.6677293,2131901,48.33780078,41890,60.80708376,0.240112449,15.80780955,68890,1742990,0.312998293,70280,65.83502685,61.569,1.456778593,Ireland_2010,2010,Ireland,IRL,2.21368E+11,4554330,14.42,8.94,1.105,8.427,11.365,20.275,0,0.622,41.794,0.09,0.06,0.18,0.18,0,0.13
Advanced Economy,Ireland,2011,16.5,6.1,2.05,83.1,78.5,80.74390244,0.544884384,4560155,4701474,105.2358099,2077978,46.51258259,45680,66.30860793,0.22170299,14.67556975,68890,1740155,-0.162783957,70280,66.19473073,61.84,0.984081557,Ireland_2011,2011,Ireland,IRL,2.23964E+11,4591115,14.43,8.82,0.966,8.354,9.85,18.365,0,0.562,38.097,0.07,0.06,0.15,0.16,0,0.11
Advanced Economy,Ireland,2012,16.2,6.2,2.03,83,78.6,80.74634146,0.364213884,4576794,4906352,108.479355,2046567,45.24955979,45550,66.11990129,0.232040157,15.41588039,68890,1734101,-0.348506623,70280,66.43626071,62.111,0.801495736,Ireland_2012,2012,Ireland,IRL,2.21944E+11,4608199,14.87,9.32,1.177,9.652,9.523,17.445,0,0.445,38.242,0.09,0.06,0.15,0.15,0,0.11
Emerging and Developing Economies,Pakistan,1993,38.728,9.616,5.767,62.49,61.066,61.76063415,2.645424806,117291344,13500,0.011509801,1243569,1.060239364,260600,33.80552096,0.175631034,26.72270652,770880,80840713,2.281912327,796100,152.1525322,31.077,3.456374229,Pakistan_1993,1993,Pakistan,PAK,3.38978E+11,117086680,77.96,30.56,3.379,8.464,26.949,38.384,0,0,77.176,0.61,0.1,0.66,0.42,0,0.34
Emerging and Developing Economies,Pakistan,1997,35.369,8.813,5.208,63.588,62.074,62.81253659,2.643827068,130083700,68038,0.052303248,2376786,1.827120539,266800,34.6097966,0.162126385,27.35834371,770880,88337239,2.267555551,796100,168.7470164,32.092,3.444731693,Pakistan_1997,1997,Pakistan,PAK,4.0236E+11,131057432,86.58,37.14,3.639,8.574,32.218,49.358,0,0,93.788,0.55,0.1,0.73,0.51,0,0.39
Emerging and Developing Economies,Pakistan,1998,34.409,8.618,5.042,63.858,62.328,63.07434146,2.665339904,133597492,135027,0.101070011,2557619,1.914421417,269800,34.99896222,0.159815874,27.69691781,770880,90381375,2.287646598,796100,173.3051733,32.348,3.459882314,Pakistan_1998,1998,Pakistan,PAK,4.19025E+11,134843232,88.9,37.64,3.595,8.182,32.384,52.58,0,0,96.741,0.55,0.09,0.72,0.53,0,0.4
Emerging and Developing Economies,Pakistan,2001,31.192,8.031,4.474,64.685,63.125,63.88597561,2.286649629,143832014,306493,0.213090946,3053460,2.122934884,269500,34.96004566,0.148033803,27.6203819,770880,96144510,1.867155453,796100,186.5815873,33.155,3.137795509,Pakistan_2001,2001,Pakistan,PAK,4.77965E+11,145978400,94.86,40.34,4.414,8.042,37.856,55.088,1.726,0,107.126,0.59,0.09,0.79,0.53,0.63,0.42
Emerging and Developing Economies,Pakistan,2002,30.205,7.853,4.29,64.962,63.398,64.16092683,2.081382659,146857081,742606,0.505665777,3252000,2.21439782,271600,35.2324616,0.146319128,27.87463678,770880,97739262,1.645096905,796100,190.5057609,33.446,2.955248846,Pakistan_2002,2002,Pakistan,PAK,5.04825E+11,149549680,97.46,41.52,4.395,10.08,44.77,53.659,0,0,112.904,0.56,0.11,0.91,0.52,0,0.43
Emerging and Developing Economies,Pakistan,2003,29.375,7.694,4.125,65.233,63.666,64.43039024,1.913122373,149693684,1698536,1.13467446,3655474,2.441969429,272700,35.37515567,0.144334747,28.02770859,770880,99172066,1.455304073,796100,194.1854556,33.75,2.81794425,Pakistan_2003,2003,Pakistan,PAK,5.4392E+11,153093376,102.17,42.69,5.171,13.194,54.912,44.213,0,0.001,117.491,0.61,0.13,1.08,0.41,0,0.43
Emerging and Developing Economies,Pakistan,2005,28.287,7.447,3.873,65.746,64.174,64.94082927,1.776167805,155151394,5022908,3.2374237,4502230,2.901830196,270300,35.06382316,0.137253037,27.62427356,770880,101791727,1.278991227,796100,201.2652994,34.392,2.731518782,Pakistan_2005,2005,Pakistan,PAK,6.41139E+11,160304000,108.63,46.38,6.703,16.191,63.497,48.365,0,0.001,134.757,0.7,0.14,1.18,0.44,0,0.46
Emerging and Developing Economies,Pakistan,2006,27.994,7.359,3.785,65.983,64.405,65.1747561,1.801272323,157971415,12771203,8.084502503,5227831,3.309352518,270600,35.10273973,0.134612961,27.58535699,770880,103107943,1.284759614,796100,204.9234836,34.73,2.779261092,Pakistan_2006,2006,Pakistan,PAK,6.85965E+11,164022624,115.49,47.94,8.063,17.689,63.756,54.218,0,0,143.726,0.77,0.14,1.16,0.48,0,0.47
Emerging and Developing Economies,Pakistan,2007,27.794,7.288,3.713,66.207,64.618,65.39312195,1.840496436,160905794,34506557,21.44519233,5240012,3.256571358,272900,35.40110004,0.133463187,27.85777293,770880,104460041,1.302818574,796100,208.730015,35.08,2.843228117,Pakistan_2007,2007,Pakistan,PAK,7.19252E+11,167808112,118.86,48.05,9.908,23.109,64.952,57.877,0,0,155.846,0.88,0.18,1.14,0.51,0,0.49
Emerging and Developing Economies,Pakistan,2008,27.605,7.229,3.648,66.419,64.812,65.59590244,1.861025072,163928329,62856712,38.34402045,4806206,2.931894706,268800,34.86924035,0.128391475,27.3025633,770880,105828851,1.301856051,796100,212.6509042,35.442,2.887662626,Pakistan_2008,2008,Pakistan,PAK,7.46909E+11,171648992,123.1,50.1,11.764,18.91,65.754,58.928,0,0,155.356,1.03,0.14,1.12,0.53,0,0.48
Emerging and Developing Economies,Pakistan,2009,27.364,7.175,3.581,66.619,64.99,65.78463415,1.861289843,167008083,88019742,52.7038814,4416737,2.644624692,262700,34.0779369,0.122251568,26.48531548,770880,107192468,1.280280896,796100,216.6460188,35.816,2.911006796,Pakistan_2009,2009,Pakistan,PAK,7.74875E+11,175525616,126.25,54.37,11.412,18.511,66.989,58.309,0,0,155.221,0.98,0.14,1.16,0.53,0,0.49
Emerging and Developing Economies,Pakistan,2011,26.644,7.074,3.43,66.994,65.3,66.12634146,1.780304322,173149306,99185844,57.28341989,6079095,3.510897699,264000,34.24657534,0.118672148,26.65525114,770880,109780123,1.156093764,796100,224.6125285,36.598,2.870988756,Pakistan_2011,2011,Pakistan,PAK,8.45086E+11,183340176,131.57,54.51,11.031,17.166,65.959,60.504,0,0,154.66,0.82,0.12,1.03,0.53,0,0.45
Emerging and Developing Economies,Pakistan,2012,26.182,7.025,3.347,67.171,65.439,66.28387805,1.727447337,176166353,108894518,61.81345992,5721725,3.247910229,265500,34.44115816,0.117582045,26.87058946,770880,110972471,1.0802678,796100,228.5262985,37.007,2.838795946,Pakistan_2012,2012,Pakistan,PAK,8.84405E+11,187280128,134.24,53.14,11.383,14.696,64.179,63.618,0,0,153.876,0.83,0.1,0.99,0.55,0,0.44
Emerging and Developing Economies,Pakistan,2013,25.704,6.98,3.264,67.344,65.571,66.43587805,1.685114477,179160111,120151237,67.06360938,5861915,3.271886229,270400,35.07679535,0.118246187,27.48157949,770880,112104065,1.014543014,796100,232.4098576,37.428,2.8163147,Pakistan_2013,2013,Pakistan,PAK,9.31155E+11,191260800,139.56,56.51,12.028,13.659,63.721,61.042,0,0.001,150.451,0.84,0.09,0.97,0.53,0,0.43
Emerging and Developing Economies,Nigeria,1992,43.879,18.358,6.443,47.16,45.065,46.08695122,2.548396355,98085373,0,0,294166,0.299908122,639294,70.19269409,0.305856002,32.93916137,910770,68487131,1.840549553,923770,107.6949976,30.176,4.205746333,Nigeria_1992,1992,Nigeria,NGA,1.81866E+11,100161712,138.61,21.93,1.432,0.139,9.592,35.102,0,0,46.265,0.27,0,0.24,0.38,0,0.2
Emerging and Developing Economies,Nigeria,1993,43.687,18.324,6.395,47.127,45.073,46.07495122,2.52368849,100592242,0,0,320934,0.319044485,644470.5,70.76105932,0.299227847,33.04895857,910770,69733560,1.803583499,923770,110.4474697,30.677,4.170316934,Nigeria_1993,1993,Nigeria,NGA,1.88894E+11,102700752,140.24,22.53,1.308,0.022,10.478,33.006,0,0,44.814,0.24,0,0.26,0.36,0,0.2
Emerging and Developing Economies,Nigeria,1994,43.523,18.284,6.348,47.088,45.106,46.07282927,2.505819438,103144749,9049,0.008773108,342287,0.331851115,650646.9,71.43921078,0.291822902,33.04895857,910770,70982153,1.774678525,923770,113.2500511,31.182,4.138602543,Nigeria_1994,1994,Nigeria,NGA,1.93991E+11,105293704,142.66,22.92,1.072,0.066,10.269,23.528,0,0,34.935,0.18,0,0.25,0.25,0,0.15
Emerging and Developing Economies,Nigeria,1995,43.387,18.236,6.303,47.049,45.168,46.08556098,2.497092552,105752796,12800,0.012103699,368715,0.348657448,662158,72.70309738,0.293136458,34.03713341,910770,72238677,1.754711574,923770,116.1136138,31.691,4.116265028,Nigeria_1995,1995,Nigeria,NGA,2.02398E+11,107948336,138.83,23.11,1.06,0.051,10.066,22.239,0,0.001,33.417,0.17,0,0.24,0.24,0,0.14
Emerging and Developing Economies,Nigeria,1996,43.277,18.177,6.261,47.014,45.257,46.11407317,2.495283685,108424827,13000,0.011989874,405073,0.373598014,684000,75.10128792,0.303436039,36.1232803,910770,73506611,1.739975276,923770,119.0474291,32.205,4.104182874,Nigeria_1996,1996,Nigeria,NGA,2.1595E+11,110668784,146.6,26.42,1.035,0.022,10.201,25.531,0,7.11E-15,36.789,0.16,0,0.23,0.27,0,0.15
Emerging and Developing Economies,Nigeria,1997,43.187,18.105,6.222,46.988,45.371,46.15978049,2.496937459,111166210,14000,0.012593755,412779,0.371316968,686000,75.32088233,0.297752348,36.34287471,910770,74787068,1.726963458,923770,122.057391,32.725,4.098694696,Nigeria_1997,1997,Nigeria,NGA,2.27883E+11,113457664,138.05,26.71,1.024,0.026,10.666,29.294,0,0,41.009,0.16,0,0.24,0.3,0,0.17
Emerging and Developing Economies,Nigeria,1998,43.112,18.017,6.187,46.98,45.505,46.2245122,2.499197223,113979481,15000,0.013160263,404177,0.354605054,688000,75.54047674,0.291280498,36.45267191,910770,76084723,1.720251337,923770,125.1462839,33.247,4.081720275,Nigeria_1998,1998,Nigeria,NGA,2.39845E+11,116319768,128.94,28.71,1.095,0.033,11.029,25.589,0,7.11E-15,37.746,0.17,0,0.25,0.26,0,0.16
Emerging and Developing Economies,Nigeria,2001,42.909,17.6,6.099,47.191,46.084,46.624,2.509180608,122876727,30000,0.024414713,553374,0.450348909,713000,78.28540685,0.284838316,38.4290216,910770,80066475,1.689954685,923770,134.9152113,34.84,4.059599651,Nigeria_2001,2001,Nigeria,NGA,2.93372E+11,125394048,112.19,26.87,0.966,0.007,11.608,37.204,36.933,0.001,86.719,0.13,0,0.24,0.36,13.59,0.34
Emerging and Developing Economies,Nigeria,2002,42.833,17.374,6.077,47.399,46.388,46.88117073,2.513989191,126004992,266461,0.211468606,600321,0.476426363,695000,76.30905717,0.261894386,36.23307751,910770,81060271,1.233573726,923770,138.3499588,35.669,4.86557058,Nigeria_2002,2002,Nigeria,NGA,3.44837E+11,128596080,105.78,27.15,0.842,0.114,11.889,37.573,43.886,0,94.304,0.11,0,0.24,0.36,15.3,0.36
Emerging and Developing Economies,Nigeria,2003,42.751,17.092,6.058,47.693,46.769,47.21973171,2.523076776,129224641,1569050,1.214203412,702000,0.543240047,738000,81.03033697,0.24763079,35.13510546,910770,82047309,1.210305553,923770,141.8850434,36.508,4.848021058,Nigeria_2003,2003,Nigeria,NGA,3.87286E+11,131900640,115.07,28.37,0.919,0.062,20.097,34.203,44.726,0.001,100.008,0.11,0,0.39,0.32,15.51,0.37
Emerging and Developing Economies,Nigeria,2004,42.662,16.758,6.042,48.069,47.227,47.63773171,2.540874123,132550146,3149473,2.37606151,888534,0.670338002,739000,81.14013417,0.241418067,35.13510546,910770,83034713,1.196272936,923770,145.536355,37.356,4.837087576,Nigeria_2004,2004,Nigeria,NGA,4.38819E+11,135320416,117.46,28.35,0.915,0.022,20.507,30.847,46.394,0,98.685,0.1,0,0.39,0.28,14.91,0.34
Emerging and Developing Economies,Nigeria,2005,42.565,16.379,6.029,48.518,47.752,48.12565854,2.568833681,135999250,9147209,6.725926062,1027519,0.755532843,745000,81.7989174,0.242648397,36.23307751,910770,84031217,1.192961148,923770,149.3233747,38.212,4.834438079,Nigeria_2005,2005,Nigeria,NGA,4.81806E+11,138865008,119.6,30.66,1.07,0.022,20.631,39.793,44.241,0.001,105.758,0.11,0,0.38,0.36,13.32,0.36
Emerging and Developing Economies,Nigeria,2007,42.364,15.551,6.015,49.559,48.914,49.22863415,2.636425201,143314909,32322202,22.55327253,1687972,1.177806281,780000,85.64181956,0.258172721,40.62496569,910770,86070635,1.199835087,923770,157.3557638,39.943,4.83604048,Nigeria_2007,2007,Nigeria,NGA,5.81025E+11,146339968,115.45,29.85,1.82,0.062,22.233,27.26,42.894,0.001,94.27,0.16,0,0.39,0.24,12.31,0.3
Emerging and Developing Economies,Nigeria,2008,42.267,15.139,6.015,50.102,49.496,49.79160976,2.666191559,147187353,40395611,27.44502851,1579664,1.073233513,780000,85.64181956,0.254777325,41.17395171,910770,87106947,1.196834323,923770,161.6075991,40.819,4.835614512,Nigeria_2008,2008,Nigeria,NGA,6.38943E+11,150269632,114.32,30.59,3.846,0.084,20.654,33.5,36.688,0,94.772,0.34,0,0.35,0.3,10.12,0.3
Emerging and Developing Economies,Nigeria,2013,41.532,13.479,6.002,52.423,51.81,52.10902439,2.787254854,168833776,112777785,66.79811805,418166,0.247679114,720000,79.05398729,0.207304491,38.4290216,910770,92463506,1.207568924,923770,185.3747664,45.234,4.733832011,Nigeria_2013,2013,Nigeria,NGA,9.59939E+11,171765808,122.65,35.52,7.785,0.117,28.63,62.268,23.299,0,122.098,0.54,0,0.44,0.54,6.3,0.35
Emerging and Developing Economies,Ecuador,1992,29.404,6.112,3.669,71.86,66.935,69.33743902,2.314440542,10360630,0,0,491394,4.742896909,79140,28.58690941,0.158677609,5.938448201,276840,4588827,0.926540998,283560,37.4246135,55.709,3.431791297,Ecuador_1992,1992,Ecuador,ECU,70873808896,10716131,19.3,3.97,1.016,0,0.465,19.138,1.341,0,21.96,0.19,0,0.01,0.21,0.57,0.1
Emerging and Developing Economies,Ecuador,1994,28.248,5.812,3.488,72.913,67.809,70.2987561,2.222294496,10836327,0,0,598287,5.521123532,79750,28.80725329,0.144790758,5.667533593,276840,4687795,1.041133183,283560,39.14292371,56.74,3.132309064,Ecuador_1994,1994,Ecuador,ECU,76428115968,11207999,21.9,4.21,0.976,0,0.484,10.648,1.433,0,13.54,0.16,0,0.01,0.12,0.6,0.06
Emerging and Developing Economies,Ecuador,1997,26.784,5.438,3.27,74.424,69.071,71.68221951,2.110440039,11557151,59779,0.517246854,800763,6.928723178,79870,28.85059962,0.13904811,5.804796995,276840,4821990,0.893132301,283560,41.74668039,58.277,2.991155832,Ecuador_1997,1997,Ecuador,ECU,84682932224,11951457,23.4,4.91,1.304,0,0.451,15.253,1.198,0,18.206,0.2,0,0.01,0.16,0.49,0.07
Emerging and Developing Economies,Ecuador,2000,25.654,5.148,3.113,75.854,70.231,72.97392683,2.010314624,12286995,383185,3.118622576,1129528,9.192874254,80750,32.51328716,0.131032852,6.482525366,248360,4939863,0.762026425,256370,49.47251973,59.796,2.858451163,Ecuador_2000,2000,Ecuador,ECU,85978873856,12681123,21.84,4.1,1.256,0,0.473,17.324,1.509,0,20.562,0.18,0,0.01,0.17,0.56,0.08
Emerging and Developing Economies,Ecuador,2005,23.951,4.949,2.897,77.486,71.553,74.44714634,1.859772038,13529091,3544174,26.19668978,1590755,11.75803312,75270,30.30681269,0.094389194,5.141729747,248360,5206806,1.346621837,256370,54.47371155,61.514,2.182166793,Ecuador_2005,2005,Ecuador,ECU,1.12807E+11,13825839,26.65,4.78,1.57,0,0.894,26.007,1.499,0,29.97,0.16,0,0.02,0.23,0.45,0.1
